timestamp_ms,found,x,y
1777283646127,1,51,155
1777283646161,1,51,156
1777283646192,1,51,157
1777283646227,1,51,157
1777283646260,1,51,158
1777283646292,1,51,159
1777283646327,1,51,159
1777283646361,1,51,160
1777283646392,1,51,162
1777283646427,1,51,162
1777283646461,1,51,163
1777283646492,1,52,164
1777283646527,1,52,165
1777283646560,1,52,166
1777283646592,1,52,167
1777283646627,1,53,167
1777283646659,1,53,168
1777283646693,1,54,169
1777283646727,1,55,170
1777283646760,1,56,171
1777283646792,1,57,172
1777283646827,1,58,173
1777283646859,1,59,174
1777283646892,1,60,174
1777283646927,1,61,175
1777283646961,1,63,176
1777283646992,1,64,178
1777283647027,1,65,178
1777283647061,1,66,179
1777283647092,1,68,180
1777283647127,1,69,181
1777283647161,1,70,182
1777283647192,1,72,183
1777283647227,1,72,184
1777283647261,1,73,185
1777283647292,1,76,186
1777283647327,1,76,187
1777283647362,1,77,188
1777283647392,1,79,189
1777283647427,1,79,190
1777283647462,1,80,191
1777283647492,1,82,192
1777283647527,1,82,193
1777283647562,1,83,193
1777283647592,1,85,194
1777283647627,1,85,195
1777283647661,1,86,196
1777283647693,1,87,197
1777283647727,1,88,197
1777283647761,1,89,198
1777283647792,1,90,199
1777283647827,1,90,199
1777283647861,1,91,200
1777283647892,1,92,201
1777283647927,1,92,201
1777283647962,1,93,202
1777283647992,1,94,203
1777283648028,1,94,203
1777283648060,1,95,204
1777283648092,1,96,204
1777283648127,1,97,204
1777283648161,1,97,205
1777283648192,1,98,205
1777283648227,1,99,206
1777283648261,1,99,206
1777283648292,1,100,206
1777283648327,1,101,207
1777283648360,1,102,207
1777283648392,1,102,207
1777283648427,1,103,208
1777283648460,1,104,208
1777283648492,1,105,208
1777283648527,1,106,208
1777283648559,1,106,209
1777283648592,1,107,209
1777283648627,1,108,209
1777283648661,1,109,209
1777283648692,1,111,209
1777283648727,1,111,209
1777283648761,1,112,210
1777283648792,1,114,210
1777283648827,1,114,210
1777283648860,1,115,210
1777283648892,1,117,210
1777283648927,1,118,210
1777283648961,1,119,210
1777283648992,1,121,210
1777283649027,1,121,210
1777283649061,1,122,210
1777283649092,1,124,210
1777283649127,1,125,210
1777283649161,1,126,209
1777283649192,1,128,209
1777283649227,1,128,209
1777283649261,1,129,209
1777283649292,1,131,208
1777283649327,1,132,208
1777283649361,1,133,208
1777283649392,1,135,207
1777283649427,1,135,207
1777283649461,1,137,206
1777283649492,1,139,206
1777283649527,1,139,205
1777283649561,1,140,205
1777283649592,1,142,204
1777283649627,1,143,204
1777283649661,1,144,203
1777283649692,1,146,203
1777283649727,1,147,202
1777283649761,1,148,202
1777283649792,1,149,201
1777283649827,1,150,201
1777283649861,1,151,201
1777283649892,1,153,200
1777283649927,1,154,200
1777283649961,1,155,199
1777283649992,1,157,199
1777283650027,1,157,199
1777283650060,1,159,198
1777283650092,1,160,198
1777283650127,1,161,198
1777283650161,1,162,197
1777283650192,1,164,197
1777283650227,1,164,196
1777283650262,1,165,196
1777283650292,1,167,196
1777283650327,1,168,196
1777283650360,1,169,195
1777283650392,1,170,195
1777283650427,1,171,194
1777283650461,1,172,194
1777283650492,1,174,193
1777283650527,1,175,193
1777283650561,1,176,193
1777283650592,1,178,192
1777283650627,1,179,192
1777283650660,1,180,191
1777283650692,1,181,191
1777283650732,1,182,190
1777283650765,1,184,189
1777283650796,1,185,188
1777283650828,1,186,188
1777283650860,1,186,187
1777283650892,1,188,187
1777283650927,1,189,186
1777283650961,1,190,185
1777283650992,1,191,183
1777283651027,1,192,183
1777283651061,1,193,182
1777283651092,1,194,180
1777283651127,1,195,180
1777283651159,1,195,179
1777283651192,1,196,178
1777283651227,1,197,177
1777283651261,1,198,176
1777283651292,1,199,174
1777283651327,1,200,173
1777283651361,1,200,172
1777283651392,1,201,170
1777283651427,1,202,170
1777283651461,1,202,168
1777283651492,1,203,166
1777283651527,1,204,166
1777283651560,1,204,164
1777283651592,1,205,163
1777283651627,1,206,162
1777283651661,1,206,159
1777283651692,1,207,158
1777283651727,1,207,158
1777283651760,1,207,156
1777283651792,1,208,155
1777283651827,1,208,154
1777283651861,1,209,153
1777283651892,1,209,151
1777283651927,1,209,150
1777283651960,1,209,149
1777283651992,1,210,148
1777283652027,1,210,147
1777283652059,1,210,146
1777283652092,1,210,145
1777283652127,1,210,143
1777283652159,1,210,142
1777283652192,1,211,142
1777283652227,1,211,141
1777283652261,1,211,139
1777283652292,1,211,138
1777283652329,1,211,138
1777283652360,1,211,136
1777283652392,1,211,136
1777283652427,1,211,135
1777283652459,1,210,134
1777283652492,1,210,133
1777283652527,1,210,132
1777283652560,1,210,132
1777283652592,1,210,131
1777283652627,1,209,130
1777283652661,1,209,130
1777283652692,1,209,129
1777283652727,1,208,128
1777283652762,1,208,128
1777283652792,1,208,127
1777283652827,1,207,126
1777283652859,1,207,126
1777283652892,1,207,125
1777283652927,1,207,124
1777283652961,1,206,124
1777283652992,1,206,123
1777283653027,1,206,122
1777283653061,1,205,122
1777283653092,1,205,121
1777283653127,1,205,121
1777283653161,1,204,120
1777283653192,1,204,119
1777283653227,1,204,119
1777283653261,1,203,118
1777283653292,1,203,117
1777283653327,1,203,116
1777283653361,1,203,116
1777283653392,1,202,114
1777283653427,1,202,114
1777283653461,1,202,113
1777283653492,1,202,112
1777283653527,1,202,112
1777283653561,1,202,111
1777283653592,1,201,109
1777283653627,1,201,109
1777283653661,1,201,108
1777283653692,1,202,107
1777283653727,1,201,106
1777283653765,1,202,105
1777283653796,1,202,104
1777283653832,1,202,103
1777283653865,1,203,102
1777283653896,1,203,101
1777283653928,1,203,99
1777283653960,1,203,99
1777283653992,1,204,98
1777283654027,1,204,97
1777283654061,1,204,95
1777283654092,1,205,94
